Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
1.8	1.6	560.31	1.375	12.87
2	1.6	559.84	1.375	11.52
2.2	1.6	559.73	1.375	11.49
2.4	1.6	561.97	1.375	13.78
2.6	1.6	559.80	1.375	11.23
2.8	1.6	559.74	1.375	11.93
3	1.6	559.26	1.376	10.52
3.2	1.4	558.62	1.376	10.29
3	1.4	559.65	1.375	10.88
2.8	1.4	559.54	1.375	11.88
2.6	1.4	559.32	1.375	10.88
2.4	1.4	559.82	1.375	11.15
2.2	1.4	560.00	1.375	12.35
2	1.4	559.88	1.375	11.18
1.8	1.4	560.53	1.375	11.31
1.6	1.4	560.40	1.375	11.40
1.4	1.4	560.31	1.376	11.45
1.2	1.4	561.50	1.376	15.37
1	1.4	560.75	1.375	11.91
0.8	1.4	561.13	1.375	12.87
0.6	1.4	560.74	1.376	12.02
0.4	1.4	560.50	1.376	12.32
0.2	1.4	561.02	1.375	12.29
0	1.4	561.67	1.375	12.17
-0.2	1.4	562.05	1.375	13.04
-0.4	1.4	561.97	1.375	12.31
-0.6	1.4	562.18	1.375	12.36
-0.8	1.4	562.50	1.375	12.33
-1	1.4	561.86	1.376	12.96
-1.2	1.4	562.45	1.375	12.48
-1.4	1.4	562.32	1.376	14.21
-1.6	1.4	562.57	1.375	13.00
-1.8	1.4	562.20	1.375	13.07
-2	1.4	562.44	1.375	13.02
-2.2	1.4	562.49	1.375	13.17
-2.4	1.4	562.57	1.376	13.06
-2.6	1.4	562.63	1.376	12.86
-2.8	1.4	561.66	1.377	12.41
-3	1.4	561.54	1.377	12.78
-3.2	1.4	561.68	1.379	11.98
-3.2	1.2	562.03	1.378	11.94
-3	1.2	561.32	1.377	12.39
-2.8	1.2	561.97	1.377	12.63
-2.6	1.2	562.75	1.376	12.85
-2.4	1.2	562.91	1.375	12.95
-2.2	1.2	562.51	1.375	13.13
-2	1.2	562.60	1.375	13.08
-1.8	1.2	562.18	1.376	13.06
-1.6	1.2	562.32	1.375	13.03
-1.4	1.2	562.10	1.375	12.98
-1.2	1.2	563.23	1.375	13.54
-1	1.2	562.19	1.375	12.81
-0.8	1.2	562.48	1.375	12.23
-0.6	1.2	562.17	1.376	13.29
-0.4	1.2	561.72	1.376	12.63
-0.2	1.2	560.98	1.376	12.44
0	1.2	561.02	1.376	12.29
0.2	1.2	561.10	1.375	12.35
0.4	1.2	560.91	1.376	12.15
0.6	1.2	560.44	1.376	11.73
0.8	1.2	560.63	1.375	11.95
1	1.2	560.83	1.375	12.69
1.2	1.2	560.71	1.375	11.95
1.4	1.2	560.72	1.377	12.93
1.6	1.2	560.94	1.375	12.23
1.8	1.2	560.20	1.375	12.07
2	1.2	560.18	1.375	11.77
2.2	1.2	559.64	1.375	11.25
2.4	1.2	560.04	1.375	11.17
2.6	1.2	559.87	1.375	11.45
2.8	1.2	559.88	1.375	10.90
3	1.2	559.43	1.375	10.43
3.2	1.2	559.07	1.376	10.80
3.4	1	557.70	1.377	10.30
3.2	1	559.29	1.375	11.49
3	1	559.03	1.376	11.40
2.8	1	559.55	1.375	11.96
2.6	1	561.45	1.375	15.22
2.4	1	560.81	1.374	11.99
2.2	1	560.15	1.375	10.89
2	1	560.15	1.375	11.69
1.8	1	560.20	1.375	11.36
1.6	1	560.37	1.375	11.79
1.4	1	560.44	1.375	11.72
1.2	1	559.98	1.376	11.96
1	1	559.96	1.376	12.07
0.8	1	560.67	1.376	12.59
0.6	1	560.26	1.376	11.94
0.4	1	560.57	1.376	12.08
0.2	1	560.73	1.378	14.34
0	1	561.17	1.375	12.05
-0.2	1	561.33	1.376	12.36
-0.4	1	561.07	1.376	12.29
-0.6	1	562.15	1.375	12.29
-0.8	1	561.96	1.376	12.63
-1	1	562.35	1.375	12.46
-1.2	1	562.20	1.375	12.82
-1.4	1	562.12	1.375	12.74
-1.6	1	562.39	1.375	13.09
-1.8	1	562.77	1.375	13.12
-2	1	562.73	1.375	13.10
-2.2	1	562.41	1.376	13.12
-2.4	1	562.61	1.376	13.15
-2.6	1	562.86	1.376	12.84
-2.8	1	562.91	1.376	13.50
-3	1	561.97	1.377	13.52
-3.2	1	564.31	1.377	15.21
-3.4	1	561.92	1.381	11.84
-3.4	0.8	560.25	1.383	11.17
-3.2	0.8	561.07	1.379	12.17
-3	0.8	562.30	1.377	12.56
-2.8	0.8	562.34	1.377	12.87
-2.6	0.8	563.24	1.376	12.73
-2.4	0.8	562.29	1.376	13.05
-2.2	0.8	562.76	1.375	12.99
-2	0.8	562.77	1.375	12.92
-1.8	0.8	563.00	1.375	12.93
-1.6	0.8	562.72	1.375	12.72
-1.4	0.8	562.14	1.376	12.82
-1.2	0.8	562.30	1.375	12.53
-1	0.8	561.89	1.376	12.65
-0.8	0.8	562.21	1.375	12.23
-0.6	0.8	561.82	1.376	12.28
-0.4	0.8	561.72	1.376	12.14
-0.2	0.8	561.33	1.376	12.13
0	0.8	561.26	1.376	12.15
0.2	0.8	561.18	1.375	11.96
0.4	0.8	560.79	1.376	11.97
0.6	0.8	560.85	1.376	12.34
0.8	0.8	560.83	1.375	11.56
1	0.8	560.43	1.376	12.44
1.2	0.8	560.36	1.376	13.20
1.4	0.8	559.83	1.376	11.93
1.6	0.8	559.71	1.376	11.63
1.8	0.8	560.18	1.375	11.67
2	0.8	559.61	1.376	11.28
2.2	0.8	560.03	1.375	10.99
2.4	0.8	560.36	1.375	10.86
2.6	0.8	559.86	1.375	10.79
2.8	0.8	559.53	1.375	11.62
3	0.8	559.44	1.375	10.45
3.2	0.8	559.49	1.376	12.35
3.4	0.8	559.13	1.376	11.58
3.4	0.6	558.21	1.376	10.35
3.2	0.6	559.10	1.375	10.98
3	0.6	559.04	1.375	11.29
2.8	0.6	559.08	1.375	10.95
2.6	0.6	560.72	1.375	13.29
2.4	0.6	560.06	1.375	10.85
2.2	0.6	562.20	1.374	13.11
2	0.6	561.50	1.374	13.40
1.8	0.6	559.67	1.376	11.57
1.6	0.6	559.83	1.376	13.02
1.4	0.6	559.75	1.376	11.51
1.2	0.6	560.38	1.376	12.62
1	0.6	560.68	1.376	11.66
0.8	0.6	560.44	1.376	12.00
0.6	0.6	560.77	1.376	14.10
0.4	0.6	561.29	1.375	12.99
0.2	0.6	561.18	1.376	12.04
0	0.6	561.37	1.375	12.02
-0.2	0.6	561.17	1.376	11.81
-0.4	0.6	561.59	1.376	12.08
-0.6	0.6	562.05	1.375	12.06
-0.8	0.6	562.18	1.376	12.00
-1	0.6	561.62	1.376	12.35
-1.2	0.6	562.27	1.375	12.54
-1.4	0.6	562.12	1.376	12.94
-1.6	0.6	563.14	1.375	12.93
-1.8	0.6	563.26	1.375	12.94
-2	0.6	562.67	1.376	12.78
-2.2	0.6	562.34	1.376	12.81
-2.4	0.6	562.41	1.376	12.67
-2.6	0.6	562.41	1.377	12.76
-2.8	0.6	562.18	1.377	13.29
-3	0.6	562.67	1.376	12.70
-3.2	0.6	561.18	1.378	12.41
-3.4	0.6	559.93	1.382	11.25
-3.4	0.4	560.47	1.381	12.08
-3.2	0.4	561.62	1.378	12.68
-3	0.4	562.40	1.377	12.85
-2.8	0.4	562.69	1.376	12.77
-2.6	0.4	562.42	1.377	12.47
-2.4	0.4	561.40	1.377	13.12
-2.2	0.4	562.55	1.376	12.71
-2	0.4	562.89	1.375	12.74
-1.8	0.4	563.22	1.375	12.63
-1.6	0.4	562.87	1.375	12.55
