Blue Ridge Optics, November 2025				
Serial 002: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
2.2	1.6	561.74	1.378	12.05
2.4	1.6	562.82	1.377	11.64
2.6	1.6	562.12	1.377	12.20
2.8	1.6	562.01	1.378	12.39
3	1.6	562.07	1.377	12.20
3.2	1.4	562.21	1.378	13.38
3	1.4	562.17	1.377	12.17
2.8	1.4	561.97	1.378	12.27
2.6	1.4	562.17	1.378	14.02
2.4	1.4	562.11	1.377	12.20
2.2	1.4	561.77	1.378	12.24
2	1.4	561.59	1.378	12.09
1.8	1.4	561.21	1.378	12.45
1.6	1.4	561.32	1.378	11.89
1.4	1.4	561.07	1.379	11.98
1.2	1.4	561.63	1.378	11.84
1	1.4	561.58	1.377	11.61
0.8	1.4	561.11	1.379	11.75
0.6	1.4	561.41	1.377	11.42
0.4	1.4	560.68	1.378	11.88
0.2	1.4	560.88	1.378	12.32
0	1.4	560.74	1.378	11.24
-0.2	1.4	560.69	1.378	11.35
-0.4	1.4	561.45	1.378	11.47
-0.6	1.4	560.49	1.379	11.13
-0.8	1.4	560.43	1.378	10.73
-1	1.4	559.75	1.379	10.92
-1.2	1.4	559.89	1.378	10.75
-1.4	1.4	559.76	1.379	10.68
-1.6	1.4	559.49	1.379	10.39
-1.8	1.4	559.78	1.379	10.34
-2	1.4	560.13	1.379	10.61
-2.2	1.4	559.74	1.379	9.81
-2.4	1.4	559.51	1.379	10.24
-2.6	1.4	558.32	1.380	9.62
-2.8	1.4	558.70	1.380	9.15
-3	1.4	560.23	1.380	10.58
-3.2	1.4	557.63	1.382	8.82
-3.2	1.2	558.29	1.380	8.92
-3	1.2	559.21	1.380	9.15
-2.8	1.2	558.73	1.380	9.12
-2.6	1.2	559.17	1.379	9.65
-2.4	1.2	559.42	1.379	9.72
-2.2	1.2	559.57	1.379	9.99
-2	1.2	559.74	1.380	10.61
-1.8	1.2	558.88	1.381	11.74
-1.6	1.2	559.74	1.378	10.65
-1.4	1.2	560.40	1.378	10.71
-1.2	1.2	560.12	1.378	10.75
-1	1.2	560.41	1.378	10.91
-0.8	1.2	560.34	1.378	10.90
-0.6	1.2	560.20	1.379	11.48
-0.4	1.2	560.80	1.378	11.22
-0.2	1.2	561.17	1.377	11.51
0	1.2	560.82	1.378	11.58
0.2	1.2	561.23	1.378	11.54
0.4	1.2	560.52	1.378	12.21
0.6	1.2	561.17	1.377	11.98
0.8	1.2	560.85	1.379	11.83
1	1.2	561.55	1.377	11.75
1.2	1.2	561.40	1.378	11.99
1.4	1.2	561.28	1.378	12.10
1.6	1.2	561.17	1.378	12.11
1.8	1.2	561.43	1.378	12.41
2	1.2	562.31	1.377	12.12
2.2	1.2	561.79	1.378	12.29
2.4	1.2	561.91	1.377	12.19
2.6	1.2	562.07	1.377	12.39
2.8	1.2	562.11	1.377	12.29
3	1.2	562.04	1.377	11.97
3.2	1.2	562.00	1.378	13.02
3.4	1	561.44	1.378	11.47
3.2	1	561.80	1.378	12.12
3	1	561.89	1.378	12.27
2.8	1	562.46	1.377	11.94
2.6	1	562.12	1.377	12.34
2.4	1	562.67	1.377	13.28
2.2	1	562.15	1.377	12.19
2	1	562.23	1.377	12.16
1.8	1	561.45	1.378	12.15
1.6	1	561.27	1.378	12.02
1.4	1	561.17	1.378	12.30
1.2	1	561.15	1.378	12.03
1	1	561.21	1.378	11.88
0.8	1	561.25	1.378	11.87
0.6	1	561.28	1.377	12.05
0.4	1	561.14	1.377	11.72
0.2	1	561.37	1.378	11.56
0	1	560.87	1.378	11.77
-0.2	1	560.90	1.378	11.43
-0.4	1	560.61	1.378	11.50
-0.6	1	560.79	1.378	11.31
-0.8	1	560.61	1.378	11.06
-1	1	561.03	1.377	11.08
-1.2	1	560.61	1.378	10.79
-1.4	1	560.75	1.377	11.12
-1.6	1	559.99	1.378	10.41
-1.8	1	559.90	1.378	10.30
-2	1	559.80	1.378	10.24
-2.2	1	560.03	1.378	9.97
-2.4	1	559.62	1.378	9.71
-2.6	1	559.40	1.378	9.43
-2.8	1	558.57	1.379	9.42
-3	1	558.71	1.380	9.26
-3.2	1	558.09	1.381	8.95
-3.4	1	557.00	1.380	8.35
-3.4	0.8	557.90	1.381	8.44
-3.2	0.8	557.89	1.381	8.63
-3	0.8	558.25	1.380	8.98
-2.8	0.8	559.41	1.379	9.39
-2.6	0.8	559.50	1.378	10.39
-2.4	0.8	559.43	1.378	10.06
-2.2	0.8	560.11	1.378	9.89
-2	0.8	559.87	1.378	10.24
-1.8	0.8	559.46	1.379	10.72
-1.6	0.8	559.77	1.378	10.73
-1.4	0.8	559.92	1.378	10.70
-1.2	0.8	559.88	1.379	11.11
-1	0.8	561.04	1.378	11.67
-0.8	0.8	560.19	1.378	11.10
-0.6	0.8	560.76	1.378	11.32
-0.4	0.8	560.92	1.377	11.49
-0.2	0.8	560.28	1.378	11.53
0	0.8	560.89	1.378	11.86
0.2	0.8	560.92	1.378	11.66
0.4	0.8	561.59	1.377	11.96
0.6	0.8	561.02	1.378	11.91
0.8	0.8	560.82	1.378	12.18
1	0.8	560.96	1.378	12.09
1.2	0.8	561.21	1.378	11.72
1.4	0.8	560.94	1.379	12.06
1.6	0.8	561.05	1.378	12.28
1.8	0.8	561.55	1.378	12.13
2	0.8	561.60	1.378	12.02
2.2	0.8	562.06	1.377	11.91
2.4	0.8	561.87	1.378	12.34
2.6	0.8	563.30	1.377	12.47
2.8	0.8	562.06	1.377	12.13
3	0.8	562.28	1.378	12.53
3.2	0.8	562.54	1.377	12.52
3.4	0.8	561.35	1.378	12.35
3.4	0.6	562.34	1.377	12.51
3.2	0.6	562.34	1.377	12.07
3	0.6	562.34	1.377	12.30
2.8	0.6	561.96	1.378	12.33
2.6	0.6	561.76	1.378	12.30
2.4	0.6	561.63	1.379	12.46
2.2	0.6	562.00	1.377	12.32
2	0.6	561.37	1.378	12.43
1.8	0.6	561.46	1.378	11.90
1.6	0.6	561.15	1.378	12.01
1.4	0.6	561.73	1.377	11.90
1.2	0.6	561.18	1.378	12.47
1	0.6	561.39	1.378	12.18
0.8	0.6	561.16	1.378	12.13
0.6	0.6	560.90	1.378	12.01
0.4	0.6	561.03	1.378	11.96
0.2	0.6	561.16	1.378	11.47
0	0.6	560.63	1.378	11.68
-0.2	0.6	560.14	1.379	11.61
-0.4	0.6	560.76	1.378	11.43
-0.6	0.6	561.18	1.378	12.04
-0.8	0.6	560.47	1.378	11.14
-1	0.6	560.23	1.378	11.19
-1.2	0.6	559.59	1.379	11.32
-1.4	0.6	559.77	1.379	10.57
-1.6	0.6	559.10	1.379	10.88
-1.8	0.6	559.25	1.379	10.22
-2	0.6	559.01	1.379	9.99
-2.2	0.6	558.72	1.380	10.20
-2.4	0.6	559.39	1.378	9.90
-2.6	0.6	559.17	1.379	9.68
-2.8	0.6	559.39	1.379	10.18
-3	0.6	558.31	1.380	9.23
-3.2	0.6	558.40	1.379	8.80
-3.4	0.6	559.09	1.380	8.78
-3.4	0.4	558.40	1.380	9.37
-3.2	0.4	558.11	1.380	8.98
-3	0.4	558.95	1.380	10.05
-2.8	0.4	558.06	1.380	9.52
-2.6	0.4	558.42	1.380	9.58
-2.4	0.4	558.23	1.380	9.66
-2.2	0.4	558.71	1.380	9.88
-2	0.4	558.65	1.380	10.07
-1.8	0.4	559.00	1.379	10.26
-1.6	0.4	559.87	1.378	10.69
-1.4	0.4	559.76	1.378	10.72
-1.2	0.4	559.60	1.379	11.04
-1	0.4	559.74	1.378	11.46
-0.8	0.4	560.22	1.378	11.27
-0.6	0.4	561.09	1.377	11.41
-0.4	0.4	560.67	1.378	11.81
-0.2	0.4	560.44	1.379	12.02
0	0.4	560.35	1.378	12.02
0.2	0.4	560.92	1.378	11.88
0.4	0.4	561.22	1.377	12.02
0.6	0.4	561.40	1.377	12.16
0.8	0.4	560.88	1.378	13.21
1	0.4	561.21	1.378	12.29
1.2	0.4	561.54	1.377	12.27
1.4	0.4	561.97	1.377	12.15
1.6	0.4	561.59	1.377	12.26
1.8	0.4	561.80	1.377	12.24
2	0.4	561.75	1.377	12.42
2.2	0.4	561.90	1.378	12.29
2.4	0.4	562.24	1.377	12.01
2.6	0.4	562.09	1.377	12.47
2.8	0.4	562.50	1.378	12.25
3	0.4	562.43	1.377	12.32
3.2	0.4	563.85	1.377	14.10
3.4	0.4	562.24	1.378	12.56
3.4	0.2	562.36	1.377	12.19
3.2	0.2	562.56	1.378	12.33
3	0.2	562.29	1.378	12.12
2.8	0.2	562.78	1.377	13.25
2.6	0.2	561.86	1.378	12.42
2.4	0.2	562.47	1.377	12.70
2.2	0.2	562.73	1.377	12.90
2	0.2	561.98	1.378	12.55
1.8	0.2	561.57	1.378	12.36
1.6	0.2	562.06	1.377	12.54
1.4	0.2	561.68	1.377	12.32
1.2	0.2	561.81	1.377	12.54
1	0.2	561.03	1.378	12.56
0.8	0.2	561.01	1.378	12.41
0.6	0.2	560.74	1.378	12.24
0.4	0.2	561.17	1.377	12.04
0.2	0.2	560.90	1.378	12.34
0	0.2	560.92	1.378	11.83
-0.2	0.2	560.78	1.378	11.86
-0.4	0.2	560.59	1.378	11.93
-0.6	0.2	560.65	1.377	11.41
-0.8	0.2	560.61	1.377	11.57
-1	0.2	560.25	1.378	11.55
-1.2	0.2	560.44	1.378	11.12
-1.4	0.2	560.00	1.378	10.93
-1.6	0.2	559.78	1.378	10.94
-1.8	0.2	559.37	1.378	11.06
-2	0.2	559.35	1.378	10.39
-2.2	0.2	559.50	1.378	10.10
-2.4	0.2	559.05	1.379	10.10
-2.6	0.2	559.31	1.378	9.89
-2.8	0.2	558.87	1.379	9.60
-3	0.2	558.47	1.379	9.33
-3.2	0.2	558.18	1.380	9.37
-3.4	0.2	556.96	1.381	9.09
-3.4	0	557.90	1.381	8.74
-3.2	0	558.02	1.379	9.13
-3	0	558.10	1.379	9.72
-2.8	0	559.22	1.380	9.37
-2.6	0	558.97	1.378	10.06
-2.4	0	559.64	1.378	10.25
-2.2	0	559.69	1.378	10.37
-2	0	559.63	1.378	10.94
-1.8	0	559.77	1.378	11.01
-1.6	0	560.14	1.378	10.93
-1.4	0	560.10	1.378	11.55
-1.2	0	560.54	1.377	11.30
-1	0	560.18	1.378	11.63
-0.8	0	560.48	1.377	11.80
-0.6	0	560.83	1.377	11.65
-0.4	0	560.66	1.378	11.44
-0.2	0	560.86	1.378	11.77
0	0	560.66	1.378	12.10
0.2	0	561.20	1.378	12.26
0.4	0	561.01	1.377	12.10
0.6	0	561.39	1.377	12.04
0.8	0	560.98	1.378	12.32
1	0	560.66	1.378	12.60
1.2	0	561.29	1.377	12.54
1.4	0	561.54	1.377	12.38
1.6	0	561.28	1.377	12.60
1.8	0	561.41	1.378	12.39
2	0	562.35	1.378	12.96
2.2	0	562.06	1.377	12.50
2.4	0	562.77	1.377	13.48
2.6	0	562.53	1.377	13.03
2.8	0	562.44	1.377	12.94
3	0	560.68	1.381	13.84
3.2	0	562.68	1.377	12.70
3.4	0	562.49	1.378	12.70
3.4	-0.2	562.64	1.378	12.72
3.2	-0.2	562.59	1.377	12.48
3	-0.2	562.16	1.378	12.57
2.8	-0.2	561.77	1.378	12.56
2.6	-0.2	561.86	1.378	12.63
2.4	-0.2	562.59	1.377	12.90
2.2	-0.2	562.34	1.377	12.52
2	-0.2	561.68	1.378	12.47
1.8	-0.2	561.49	1.379	13.79
1.6	-0.2	561.32	1.378	12.40
1.4	-0.2	561.21	1.377	12.53
1.2	-0.2	561.07	1.378	12.51
1	-0.2	560.64	1.378	12.45
0.8	-0.2	561.29	1.379	12.50
0.6	-0.2	560.88	1.378	12.09
0.4	-0.2	560.34	1.378	12.01
0.2	-0.2	560.61	1.383	12.07
0	-0.2	560.45	1.378	12.27
-0.2	-0.2	560.45	1.378	11.41
-0.4	-0.2	560.26	1.378	11.63
-0.6	-0.2	560.27	1.378	11.38
-0.8	-0.2	553.80	1.386	12.79
-1	-0.2	559.29	1.379	11.24
-1.2	-0.2	559.67	1.378	11.32
-1.4	-0.2	559.67	1.378	10.80
-1.6	-0.2	559.37	1.378	11.33
-1.8	-0.2	558.70	1.379	10.69
-2	-0.2	558.71	1.379	10.72
-2.2	-0.2	559.06	1.378	10.25
-2.4	-0.2	558.14	1.379	9.98
-2.6	-0.2	558.89	1.379	10.71
-2.8	-0.2	558.47	1.379	9.74
-3	-0.2	558.33	1.379	9.84
-3.2	-0.2	557.55	1.380	9.46
-3.4	-0.2	557.07	1.380	8.82
-3.4	-0.4	558.16	1.380	10.46
-3.2	-0.4	558.63	1.379	10.53
-3	-0.4	557.83	1.380	9.44
-2.8	-0.4	558.03	1.380	10.29
-2.6	-0.4	557.52	1.380	9.85
-2.4	-0.4	558.13	1.379	10.10
-2.2	-0.4	557.88	1.380	10.45
-2	-0.4	558.66	1.379	10.56
-1.8	-0.4	558.22	1.380	10.36
-1.6	-0.4	558.97	1.379	10.76
-1.4	-0.4	559.02	1.379	10.84
-1.2	-0.4	559.33	1.379	11.11
-1	-0.4	559.66	1.378	11.39
-0.8	-0.4	559.70	1.378	11.28
-0.6	-0.4	560.66	1.378	11.68
-0.4	-0.4	560.61	1.378	11.85
-0.2	-0.4	560.78	1.377	11.86
0	-0.4	560.84	1.378	11.97
0.2	-0.4	559.79	1.379	11.93
0.4	-0.4	560.37	1.378	11.98
0.6	-0.4	560.34	1.378	12.10
0.8	-0.4	560.73	1.378	12.18
1	-0.4	560.49	1.378	12.55
1.2	-0.4	561.33	1.378	12.77
1.4	-0.4	561.64	1.377	12.49
1.6	-0.4	561.52	1.378	12.86
1.8	-0.4	561.57	1.378	12.53
2	-0.4	561.52	1.378	12.57
2.2	-0.4	561.87	1.377	12.42
2.4	-0.4	562.12	1.378	12.65
2.6	-0.4	561.88	1.378	12.65
2.8	-0.4	562.32	1.378	13.68
3	-0.4	562.10	1.378	12.58
3.2	-0.4	561.73	1.378	12.45
3.4	-0.4	562.33	1.378	12.38
3.4	-0.6	562.91	1.379	14.69
3.2	-0.6	562.30	1.378	13.13
3	-0.6	562.48	1.378	12.90
2.8	-0.6	561.80	1.378	12.63
2.6	-0.6	561.98	1.378	12.83
2.4	-0.6	561.72	1.378	12.76
2.2	-0.6	562.08	1.377	12.67
