Blue Ridge Optics, November 2025				
Serial 003: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
-2.8	-1.2	562.13	1.380	11.34
-2.6	-1.2	562.09	1.380	11.25
-2.4	-1.2	562.18	1.382	11.61
-2.2	-1.2	562.43	1.379	11.83
-2	-1.2	565.09	1.378	12.18
-1.8	-1.2	562.02	1.380	11.75
-1.6	-1.2	562.32	1.379	11.94
-1.4	-1.2	562.86	1.378	12.20
-1.2	-1.2	563.16	1.378	12.34
-1	-1.2	563.10	1.378	12.07
-0.8	-1.2	562.74	1.378	12.63
-0.6	-1.2	563.03	1.378	12.28
-0.4	-1.2	562.78	1.379	12.72
-0.2	-1.2	562.56	1.378	12.58
0	-1.2	562.83	1.378	12.56
0.2	-1.2	562.90	1.378	12.73
0.4	-1.2	562.84	1.378	13.08
0.6	-1.2	562.62	1.378	12.97
0.8	-1.2	562.83	1.377	13.21
1	-1.2	563.17	1.377	13.28
1.2	-1.2	563.23	1.377	13.31
1.4	-1.2	562.92	1.378	13.52
1.6	-1.2	563.29	1.377	13.17
1.8	-1.2	563.03	1.377	13.39
2	-1.2	563.00	1.377	13.77
2.2	-1.2	563.35	1.377	13.32
2.4	-1.2	562.64	1.378	13.35
2.6	-1.2	562.55	1.378	13.26
2.8	-1.2	562.59	1.378	13.28
3	-1.2	562.48	1.378	13.52
3.2	-1.2	563.01	1.378	13.20
3.2	-1.4	562.38	1.379	13.22
3	-1.4	563.56	1.378	13.06
2.8	-1.4	562.81	1.378	13.16
2.6	-1.4	562.48	1.378	13.34
2.4	-1.4	563.01	1.377	13.39
2.2	-1.4	562.93	1.377	13.74
2	-1.4	562.84	1.378	13.56
1.8	-1.4	563.01	1.377	13.54
1.6	-1.4	562.74	1.377	13.61
1.4	-1.4	562.97	1.377	13.27
1.2	-1.4	562.66	1.378	13.28
1	-1.4	563.28	1.377	13.19
0.8	-1.4	562.72	1.378	13.01
0.6	-1.4	562.90	1.378	13.14
0.4	-1.4	562.77	1.378	12.79
0.2	-1.4	562.68	1.378	12.98
0	-1.4	562.74	1.378	12.84
-0.2	-1.4	562.67	1.378	12.70
-0.4	-1.4	562.74	1.378	12.79
-0.6	-1.4	562.78	1.379	12.60
-0.8	-1.4	562.52	1.379	12.50
-1	-1.4	562.78	1.379	12.44
-1.2	-1.4	563.18	1.378	12.19
-1.4	-1.4	562.75	1.379	11.92
-1.6	-1.4	562.57	1.379	12.06
-1.8	-1.4	562.88	1.379	12.11
-2	-1.4	562.47	1.379	12.34
-2.2	-1.4	562.55	1.379	11.80
-2.4	-1.4	562.83	1.383	11.19
-2.6	-1.4	561.80	1.380	11.22
-2.8	-1.4	561.63	1.381	11.22
-3	-1.4	561.52	1.381	11.13
-3.2	-1.4	559.48	1.383	13.65
-3	-1.6	560.78	1.381	10.38
-2.8	-1.6	561.66	1.380	11.07
-2.6	-1.6	562.23	1.380	11.43
-2.4	-1.6	561.80	1.381	12.56
-2.2	-1.6	562.54	1.379	12.09
-2	-1.6	562.60	1.379	11.85
-1.8	-1.6	563.34	1.378	12.06
-1.6	-1.6	562.94	1.379	12.03
-1.4	-1.6	562.57	1.379	11.92
-1.2	-1.6	562.77	1.379	12.42
-1	-1.6	562.56	1.379	12.57
-0.8	-1.6	562.95	1.378	12.26
-0.6	-1.6	562.83	1.378	12.74
-0.4	-1.6	563.86	1.377	12.64
-0.2	-1.6	562.88	1.378	12.64
0	-1.6	562.61	1.378	12.87
0.2	-1.6	562.90	1.378	12.95
0.4	-1.6	563.16	1.378	13.17
0.6	-1.6	563.15	1.378	13.17
0.8	-1.6	563.29	1.377	12.96
1	-1.6	562.76	1.378	13.28
1.2	-1.6	562.97	1.377	13.23
1.4	-1.6	563.16	1.377	13.25
1.6	-1.6	563.18	1.377	13.33
1.8	-1.6	562.97	1.377	13.65
2	-1.6	563.35	1.377	13.37
2.2	-1.6	563.29	1.377	13.44
2.4	-1.6	562.96	1.377	13.45
2.6	-1.6	563.06	1.377	13.23
2.8	-1.6	562.68	1.378	13.26
3	-1.6	562.94	1.378	13.01
3	-1.8	562.18	1.379	13.32
2.8	-1.8	563.01	1.377	13.20
2.6	-1.8	562.79	1.377	13.51
2.4	-1.8	563.02	1.377	13.37
2.2	-1.8	563.21	1.377	13.33
2	-1.8	563.21	1.377	13.46
1.8	-1.8	563.14	1.377	13.30
1.6	-1.8	563.36	1.377	13.24
1.4	-1.8	563.16	1.377	13.48
1.2	-1.8	563.13	1.377	13.36
1	-1.8	562.41	1.378	13.20
0.8	-1.8	563.18	1.377	13.09
0.6	-1.8	563.09	1.378	13.19
0.4	-1.8	563.48	1.378	12.86
0.2	-1.8	563.25	1.378	12.88
0	-1.8	562.78	1.378	12.83
-0.2	-1.8	562.81	1.378	12.72
-0.4	-1.8	563.18	1.378	12.71
-0.6	-1.8	562.74	1.378	12.53
-0.8	-1.8	563.18	1.378	12.60
-1	-1.8	562.30	1.379	12.46
-1.2	-1.8	562.79	1.379	12.19
-1.4	-1.8	562.96	1.378	12.35
-1.6	-1.8	562.77	1.378	12.32
-1.8	-1.8	562.62	1.379	11.80
-2	-1.8	562.45	1.379	11.72
-2.2	-1.8	562.22	1.379	11.81
-2.4	-1.8	562.16	1.380	11.83
-2.6	-1.8	561.97	1.380	11.33
-2.8	-1.8	561.31	1.380	10.93
-3	-1.8	560.53	1.381	11.12
-2.8	-2	560.71	1.381	10.67
-2.6	-2	562.28	1.379	11.04
-2.4	-2	562.72	1.379	11.37
-2.2	-2	562.47	1.379	11.55
-2	-2	563.09	1.378	11.80
-1.8	-2	562.80	1.378	12.09
-1.6	-2	562.52	1.379	11.88
-1.4	-2	562.99	1.378	12.25
-1.2	-2	562.90	1.379	12.25
-1	-2	562.68	1.379	12.24
-0.8	-2	563.03	1.378	12.32
-0.6	-2	562.86	1.378	12.73
-0.4	-2	563.18	1.377	12.70
-0.2	-2	563.03	1.378	12.76
0	-2	563.16	1.377	12.86
0.2	-2	563.36	1.377	13.06
0.4	-2	562.99	1.378	13.00
0.6	-2	567.56	1.387	8.97
0.8	-2	562.90	1.378	13.36
1	-2	563.04	1.377	13.14
1.2	-2	562.97	1.378	13.67
1.4	-2	563.04	1.378	13.54
1.6	-2	562.87	1.378	13.37
1.8	-2	562.70	1.377	13.62
2	-2	562.70	1.377	13.45
2.2	-2	562.82	1.377	13.63
2.4	-2	562.76	1.377	13.47
2.6	-2	562.95	1.377	13.24
2.8	-2	562.57	1.378	13.19
2.6	-2.2	562.46	1.378	13.39
2.4	-2.2	562.86	1.377	13.44
2.2	-2.2	563.05	1.377	13.46
2	-2.2	562.45	1.377	13.45
1.8	-2.2	562.70	1.378	13.45
1.6	-2.2	563.17	1.377	13.26
1.4	-2.2	562.86	1.378	13.32
1.2	-2.2	563.01	1.378	13.30
1	-2.2	562.77	1.378	13.46
0.8	-2.2	562.92	1.377	13.15
0.6	-2.2	562.96	1.378	13.31
0.4	-2.2	563.44	1.377	13.18
0.2	-2.2	563.33	1.377	13.36
0	-2.2	563.34	1.377	12.95
-0.2	-2.2	563.55	1.377	12.99
-0.4	-2.2	563.14	1.378	12.78
-0.6	-2.2	563.24	1.378	12.62
-0.8	-2.2	562.83	1.378	12.15
-1	-2.2	562.61	1.378	12.65
-1.2	-2.2	563.06	1.378	12.41
-1.4	-2.2	562.51	1.379	12.33
-1.6	-2.2	562.93	1.378	12.08
-1.8	-2.2	562.60	1.379	11.80
-2	-2.2	562.66	1.379	11.77
-2.2	-2.2	562.68	1.379	11.37
-2.4	-2.2	563.21	1.379	11.80
-2.6	-2.2	561.55	1.380	10.83
-2.6	-2.4	559.59	1.382	10.11
-2.4	-2.4	563.15	1.379	11.81
-2.2	-2.4	563.13	1.378	11.55
-2	-2.4	562.12	1.379	11.26
-1.8	-2.4	562.80	1.378	11.82
-1.6	-2.4	562.60	1.378	11.99
-1.4	-2.4	562.77	1.378	12.29
-1.2	-2.4	562.99	1.378	12.26
-1	-2.4	562.88	1.378	12.80
-0.8	-2.4	563.18	1.377	12.63
-0.6	-2.4	562.84	1.378	12.17
-0.4	-2.4	563.15	1.378	12.88
-0.2	-2.4	563.20	1.378	12.84
0	-2.4	563.14	1.377	12.95
0.2	-2.4	563.14	1.378	13.30
0.4	-2.4	563.17	1.377	13.26
0.6	-2.4	563.31	1.377	13.27
0.8	-2.4	563.18	1.377	13.32
1	-2.4	562.83	1.378	13.45
1.2	-2.4	562.99	1.378	13.41
1.4	-2.4	563.14	1.378	13.46
1.6	-2.4	563.28	1.377	13.35
1.8	-2.4	562.63	1.378	13.33
2	-2.4	562.41	1.378	13.45
2.2	-2.4	563.03	1.377	13.28
2.4	-2.4	562.81	1.378	13.35
2.6	-2.4	561.60	1.379	12.94
2.4	-2.6	561.90	1.379	13.17
2.2	-2.6	562.71	1.378	13.26
2	-2.6	562.61	1.378	13.16
1.8	-2.6	562.60	1.378	13.07
1.6	-2.6	562.88	1.378	13.08
1.4	-2.6	562.74	1.378	13.24
1.2	-2.6	562.77	1.378	13.12
1	-2.6	563.16	1.377	13.29
0.8	-2.6	563.18	1.377	13.22
0.6	-2.6	563.44	1.377	13.06
0.4	-2.6	563.00	1.377	13.12
0.2	-2.6	563.33	1.377	12.90
0	-2.6	563.02	1.378	12.96
-0.2	-2.6	563.11	1.378	12.77
-0.4	-2.6	563.68	1.378	13.56
-0.6	-2.6	563.33	1.377	13.00
-0.8	-2.6	562.16	1.378	12.48
-1	-2.6	563.67	1.378	11.21
-1.2	-2.6	562.52	1.379	12.36
-1.4	-2.6	562.96	1.378	12.16
-1.6	-2.6	562.33	1.378	12.08
-1.8	-2.6	561.96	1.379	11.56
-2	-2.6	561.95	1.379	11.21
-2.2	-2.6	563.00	1.379	11.82
-2.4	-2.6	562.53	1.378	11.22
-2	-2.8	561.79	1.380	10.91
-1.8	-2.8	560.75	1.381	11.00
-1.6	-2.8	562.26	1.379	11.72
-1.4	-2.8	562.50	1.379	12.04
-1.2	-2.8	562.75	1.378	12.29
-1	-2.8	562.09	1.379	12.31
-0.8	-2.8	562.31	1.378	12.35
-0.6	-2.8	562.77	1.378	12.54
-0.4	-2.8	565.20	1.378	14.53
-0.2	-2.8	563.40	1.377	12.75
0	-2.8	563.33	1.377	12.93
0.2	-2.8	562.83	1.378	12.91
0.4	-2.8	563.22	1.377	12.94
0.6	-2.8	563.64	1.377	12.84
0.8	-2.8	563.48	1.377	12.79
1	-2.8	563.02	1.377	13.26
1.2	-2.8	562.90	1.377	13.07
1.4	-2.8	562.76	1.378	13.12
1.6	-2.8	562.72	1.378	12.94
1.8	-2.8	562.56	1.379	13.05
2	-2.8	562.28	1.379	13.06
1.8	-3	562.49	1.379	13.21
1.6	-3	562.66	1.378	13.33
1.4	-3	562.92	1.378	13.08
1.2	-3	562.44	1.378	13.17
1	-3	562.67	1.377	13.23
0.8	-3	563.08	1.377	12.95
0.6	-3	563.07	1.377	12.94
0.4	-3	563.16	1.377	12.82
0.2	-3	563.06	1.377	12.92
0	-3	563.09	1.377	12.90
-0.2	-3	563.44	1.377	12.86
-0.4	-3	563.20	1.378	12.57
-0.6	-3	562.59	1.378	12.40
-0.8	-3	562.61	1.378	12.30
-1	-3	562.96	1.378	12.37
-1.2	-3	562.33	1.379	11.78
-1.4	-3	562.59	1.379	11.80
-1.6	-3	561.49	1.380	11.36
-1.8	-3	562.04	1.380	11.12
-1.4	-3.2	560.60	1.382	10.89
-1.2	-3.2	561.55	1.380	11.41
-1	-3.2	562.67	1.379	11.74
-0.8	-3.2	562.81	1.378	12.26
-0.6	-3.2	562.78	1.378	12.48
-0.4	-3.2	563.11	1.378	12.51
-0.2	-3.2	562.98	1.378	12.62
0	-3.2	563.19	1.377	12.79
0.2	-3.2	562.93	1.377	12.93
0.4	-3.2	563.32	1.377	12.80
0.6	-3.2	563.30	1.377	13.00
0.8	-3.2	562.82	1.377	13.01
1	-3.2	562.45	1.378	12.92
1.2	-3.2	562.13	1.378	13.08
1.4	-3.2	562.08	1.379	12.97
1	-3.4	561.71	1.380	13.12
0.8	-3.4	562.39	1.379	13.12
0.6	-3.4	562.99	1.378	12.89
0.4	-3.4	562.66	1.378	12.75
0.2	-3.4	562.85	1.378	12.60
0	-3.4	562.94	1.378	12.36
-0.2	-3.4	562.40	1.378	12.45
-0.4	-3.4	562.86	1.378	12.25
-0.6	-3.4	562.80	1.378	12.30
-0.8	-3.4	562.94	1.379	11.56
-1	-3.4	559.24	1.383	10.20
