Blue Ridge Optics, November 2025				
Serial 004: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
-2.8	-1.2	564.53	1.377	12.35
-2.6	-1.2	564.96	1.377	12.98
-2.4	-1.2	563.84	1.377	11.90
-2.2	-1.2	563.74	1.379	12.44
-2	-1.2	564.09	1.377	11.82
-1.8	-1.2	564.13	1.378	12.15
-1.6	-1.2	564.37	1.377	12.04
-1.4	-1.2	563.93	1.378	12.26
-1.2	-1.2	564.69	1.377	12.24
-1	-1.2	564.59	1.377	12.62
-0.8	-1.2	564.89	1.377	12.50
-0.6	-1.2	564.56	1.378	12.75
-0.4	-1.2	564.74	1.377	12.81
-0.2	-1.2	564.88	1.376	12.85
0	-1.2	564.78	1.377	13.17
0.2	-1.2	565.87	1.376	13.03
0.4	-1.2	565.02	1.376	13.55
0.6	-1.2	565.11	1.377	13.69
0.8	-1.2	565.07	1.377	13.58
1	-1.2	564.69	1.377	13.38
1.2	-1.2	564.31	1.378	13.56
1.4	-1.2	564.94	1.377	13.29
1.6	-1.2	565.27	1.376	13.37
1.8	-1.2	565.44	1.376	13.71
2	-1.2	565.11	1.376	13.69
2.2	-1.2	565.26	1.376	13.98
2.4	-1.2	565.01	1.376	14.32
2.6	-1.2	564.46	1.377	14.42
2.8	-1.2	564.57	1.377	14.07
3	-1.2	564.51	1.377	14.38
3.2	-1.2	564.66	1.379	16.29
3.2	-1.4	563.75	1.380	16.79
3	-1.4	564.72	1.378	15.49
2.8	-1.4	564.35	1.377	14.25
2.6	-1.4	564.95	1.377	14.55
2.4	-1.4	565.15	1.377	14.07
2.2	-1.4	566.08	1.376	14.29
2	-1.4	565.25	1.376	13.94
1.8	-1.4	564.94	1.377	13.70
1.6	-1.4	564.57	1.377	13.84
1.4	-1.4	564.91	1.378	13.99
1.2	-1.4	564.78	1.378	13.73
1	-1.4	564.94	1.377	13.53
0.8	-1.4	564.41	1.377	13.73
0.6	-1.4	565.09	1.376	13.35
0.4	-1.4	565.11	1.376	13.49
0.2	-1.4	565.41	1.376	13.31
0	-1.4	563.93	1.379	14.23
-0.2	-1.4	564.46	1.377	12.85
-0.4	-1.4	564.93	1.377	13.26
-0.6	-1.4	564.47	1.378	13.07
-0.8	-1.4	564.45	1.377	12.86
-1	-1.4	564.31	1.377	12.70
-1.2	-1.4	564.90	1.377	12.42
-1.4	-1.4	564.61	1.377	12.50
-1.6	-1.4	564.52	1.377	11.95
-1.8	-1.4	564.44	1.377	11.77
-2	-1.4	564.09	1.378	11.59
-2.2	-1.4	563.94	1.379	11.86
-2.4	-1.4	563.78	1.378	12.27
-2.6	-1.4	566.06	1.376	13.32
-2.8	-1.4	564.57	1.377	12.65
-3	-1.4	563.79	1.378	11.98
-3.2	-1.4	562.68	1.380	11.56
-3	-1.6	562.90	1.380	11.45
-2.8	-1.6	563.96	1.378	11.72
-2.6	-1.6	564.29	1.377	12.36
-2.4	-1.6	563.90	1.378	12.08
-2.2	-1.6	564.20	1.378	12.07
-2	-1.6	563.92	1.378	12.00
-1.8	-1.6	564.93	1.376	12.13
-1.6	-1.6	564.93	1.376	12.34
-1.4	-1.6	564.60	1.377	12.22
-1.2	-1.6	565.00	1.376	12.09
-1	-1.6	564.64	1.377	12.31
-0.8	-1.6	564.53	1.377	12.72
-0.6	-1.6	564.83	1.378	13.02
-0.4	-1.6	564.87	1.377	13.24
-0.2	-1.6	564.93	1.377	13.24
0	-1.6	564.77	1.377	13.25
0.2	-1.6	565.17	1.377	13.08
0.4	-1.6	565.19	1.376	13.20
0.6	-1.6	564.90	1.377	13.73
0.8	-1.6	565.31	1.376	14.08
1	-1.6	564.92	1.377	13.59
1.2	-1.6	565.25	1.377	13.62
1.4	-1.6	565.03	1.378	13.74
1.6	-1.6	565.47	1.376	13.54
1.8	-1.6	564.51	1.377	13.84
2	-1.6	564.69	1.376	13.68
2.2	-1.6	565.18	1.376	13.95
2.4	-1.6	565.21	1.377	13.85
2.6	-1.6	565.09	1.377	14.26
2.8	-1.6	564.05	1.378	14.17
3	-1.6	563.69	1.378	14.34
3	-1.8	563.47	1.379	15.15
2.8	-1.8	564.39	1.377	14.21
2.6	-1.8	564.75	1.377	13.65
2.4	-1.8	568.68	1.375	16.36
2.2	-1.8	565.42	1.376	14.07
2	-1.8	565.15	1.376	13.93
1.8	-1.8	564.30	1.377	14.11
1.6	-1.8	567.17	1.375	13.90
1.4	-1.8	565.24	1.377	13.57
1.2	-1.8	565.27	1.377	13.43
1	-1.8	565.36	1.376	13.20
0.8	-1.8	565.23	1.376	13.40
0.6	-1.8	565.31	1.376	13.30
0.4	-1.8	565.42	1.376	13.50
0.2	-1.8	564.79	1.377	13.34
0	-1.8	565.05	1.376	13.07
-0.2	-1.8	564.86	1.377	12.93
-0.4	-1.8	564.76	1.377	13.15
-0.6	-1.8	564.62	1.378	12.93
-0.8	-1.8	564.63	1.377	12.83
-1	-1.8	564.46	1.377	12.61
-1.2	-1.8	564.62	1.377	12.55
-1.4	-1.8	564.81	1.377	12.37
-1.6	-1.8	564.50	1.377	12.28
-1.8	-1.8	564.67	1.377	12.07
-2	-1.8	564.16	1.378	12.48
-2.2	-1.8	564.36	1.377	12.23
-2.4	-1.8	564.50	1.377	12.28
-2.6	-1.8	564.34	1.377	12.53
-2.8	-1.8	563.66	1.378	12.12
-3	-1.8	562.97	1.380	11.42
-2.8	-2	563.16	1.379	12.04
-2.6	-2	564.42	1.377	12.41
-2.4	-2	564.87	1.377	12.52
-2.2	-2	563.77	1.378	12.55
-2	-2	564.28	1.377	12.21
-1.8	-2	564.04	1.378	12.35
-1.6	-2	564.65	1.377	12.33
-1.4	-2	564.61	1.377	12.89
-1.2	-2	564.53	1.377	12.83
-1	-2	564.68	1.377	12.73
-0.8	-2	564.39	1.378	13.15
-0.6	-2	564.60	1.378	12.79
-0.4	-2	565.05	1.377	13.54
-0.2	-2	565.06	1.376	13.21
0	-2	565.34	1.376	13.48
0.2	-2	565.23	1.377	13.13
0.4	-2	565.55	1.376	13.58
0.6	-2	565.46	1.376	13.63
0.8	-2	565.18	1.376	13.26
1	-2	565.17	1.377	13.42
1.2	-2	565.36	1.377	13.78
1.4	-2	564.83	1.377	13.75
1.6	-2	565.36	1.377	14.12
1.8	-2	564.71	1.377	13.96
2	-2	565.10	1.377	14.02
2.2	-2	565.02	1.377	14.15
2.4	-2	564.97	1.377	14.20
2.6	-2	564.60	1.378	14.13
2.8	-2	564.29	1.378	14.21
2.6	-2.2	564.22	1.378	14.10
2.4	-2.2	564.77	1.377	14.42
2.2	-2.2	564.66	1.377	13.74
2	-2.2	564.88	1.377	13.60
1.8	-2.2	565.44	1.377	14.20
1.6	-2.2	565.37	1.377	13.72
1.4	-2.2	564.68	1.377	13.53
1.2	-2.2	565.16	1.377	13.63
1	-2.2	565.24	1.376	13.58
0.8	-2.2	565.78	1.376	13.37
0.6	-2.2	565.58	1.376	13.14
0.4	-2.2	565.92	1.376	14.12
0.2	-2.2	564.72	1.377	13.27
0	-2.2	565.11	1.377	13.07
-0.2	-2.2	565.54	1.376	13.24
-0.4	-2.2	564.84	1.377	13.44
-0.6	-2.2	566.22	1.377	14.47
-0.8	-2.2	564.62	1.377	12.72
-1	-2.2	564.46	1.377	12.81
-1.2	-2.2	564.84	1.377	12.36
-1.4	-2.2	564.43	1.377	12.44
-1.6	-2.2	564.71	1.377	12.02
-1.8	-2.2	564.42	1.377	11.78
-2	-2.2	564.62	1.377	11.93
-2.2	-2.2	564.02	1.377	12.31
-2.4	-2.2	564.63	1.377	12.56
-2.6	-2.2	564.17	1.378	11.96
-2.6	-2.4	562.63	1.380	11.41
-2.4	-2.4	564.54	1.377	12.64
-2.2	-2.4	564.66	1.377	12.80
-2	-2.4	564.48	1.377	12.55
-1.8	-2.4	564.60	1.377	12.42
-1.6	-2.4	564.61	1.377	12.48
-1.4	-2.4	564.80	1.376	12.25
-1.2	-2.4	564.44	1.377	12.82
-1	-2.4	564.73	1.377	12.56
-0.8	-2.4	564.87	1.377	12.91
-0.6	-2.4	564.78	1.377	12.90
-0.4	-2.4	565.28	1.377	12.89
-0.2	-2.4	565.26	1.377	12.95
0	-2.4	565.99	1.377	14.72
0.2	-2.4	565.13	1.377	13.30
0.4	-2.4	565.26	1.376	13.37
0.6	-2.4	565.71	1.375	13.43
0.8	-2.4	564.99	1.377	13.75
1	-2.4	565.46	1.376	13.58
1.2	-2.4	564.86	1.377	13.68
1.4	-2.4	564.73	1.377	13.86
1.6	-2.4	564.72	1.377	13.71
1.8	-2.4	565.22	1.377	14.06
2	-2.4	565.26	1.377	13.87
2.2	-2.4	564.61	1.377	14.03
2.4	-2.4	564.47	1.378	14.46
2.6	-2.4	564.46	1.379	16.86
2.4	-2.6	563.59	1.378	14.98
2.2	-2.6	564.42	1.377	14.18
2	-2.6	565.21	1.377	14.14
1.8	-2.6	565.50	1.376	13.82
1.6	-2.6	565.21	1.376	13.75
1.4	-2.6	565.08	1.376	13.78
1.2	-2.6	565.56	1.376	13.84
1	-2.6	564.55	1.377	13.86
0.8	-2.6	565.92	1.375	13.36
0.6	-2.6	565.96	1.375	13.31
0.4	-2.6	564.85	1.377	13.32
0.2	-2.6	565.19	1.377	13.36
0	-2.6	565.27	1.377	13.63
-0.2	-2.6	565.33	1.377	13.15
-0.4	-2.6	565.38	1.376	12.79
-0.6	-2.6	564.33	1.378	13.22
-0.8	-2.6	564.66	1.377	12.88
-1	-2.6	565.02	1.376	12.63
-1.2	-2.6	564.79	1.377	12.67
-1.4	-2.6	565.08	1.377	15.30
-1.6	-2.6	564.22	1.378	12.66
-1.8	-2.6	564.62	1.377	12.80
-2	-2.6	565.33	1.377	13.00
-2.2	-2.6	564.83	1.377	12.95
-2.4	-2.6	563.37	1.379	12.46
-2	-2.8	564.77	1.377	12.57
-1.8	-2.8	564.37	1.378	12.57
-1.6	-2.8	564.34	1.378	12.43
-1.4	-2.8	565.66	1.377	14.44
-1.2	-2.8	565.41	1.377	13.46
-1	-2.8	564.92	1.377	12.94
-0.8	-2.8	564.66	1.377	12.84
-0.6	-2.8	564.89	1.377	12.46
-0.4	-2.8	564.84	1.377	13.37
-0.2	-2.8	565.33	1.377	13.45
0	-2.8	564.61	1.378	13.56
0.2	-2.8	565.53	1.377	13.50
0.4	-2.8	564.73	1.377	13.56
0.6	-2.8	565.76	1.375	13.53
0.8	-2.8	565.46	1.376	13.72
1	-2.8	565.94	1.376	15.37
1.2	-2.8	564.93	1.377	13.92
1.4	-2.8	564.99	1.377	14.37
1.6	-2.8	564.61	1.377	14.09
1.8	-2.8	565.15	1.377	14.13
2	-2.8	564.44	1.378	14.42
1.8	-3	563.72	1.378	13.67
1.6	-3	564.65	1.378	13.95
1.4	-3	564.95	1.377	14.23
1.2	-3	564.57	1.378	14.30
1	-3	565.14	1.377	13.85
0.8	-3	563.81	1.378	14.10
0.6	-3	565.19	1.376	13.72
0.4	-3	564.12	1.378	13.82
0.2	-3	565.02	1.377	13.81
0	-3	564.39	1.378	13.69
-0.2	-3	565.12	1.377	13.40
-0.4	-3	564.35	1.377	13.42
-0.6	-3	565.19	1.377	13.25
-0.8	-3	564.70	1.378	13.13
-1	-3	564.59	1.378	13.44
-1.2	-3	565.09	1.377	12.81
-1.4	-3	564.12	1.378	12.80
-1.6	-3	564.79	1.377	12.43
-1.8	-3	563.88	1.378	12.47
-1.4	-3.2	563.60	1.379	12.93
-1.2	-3.2	564.43	1.378	13.00
-1	-3.2	564.93	1.377	13.18
-0.8	-3.2	564.97	1.377	13.28
-0.6	-3.2	564.75	1.377	13.53
-0.4	-3.2	565.24	1.377	13.07
-0.2	-3.2	566.31	1.377	13.70
0	-3.2	561.51	1.381	14.12
0.2	-3.2	564.96	1.378	13.47
0.4	-3.2	564.63	1.378	13.68
0.6	-3.2	565.20	1.377	13.70
0.8	-3.2	565.27	1.377	13.89
1	-3.2	564.95	1.377	13.78
1.2	-3.2	564.97	1.377	13.69
1.4	-3.2	564.61	1.378	13.85
1	-3.4	563.03	1.379	13.27
0.8	-3.4	566.01	1.378	14.51
0.6	-3.4	565.26	1.380	14.73
0.4	-3.4	565.62	1.378	14.23
0.2	-3.4	566.28	1.378	14.69
0	-3.4	566.06	1.377	13.58
-0.2	-3.4	564.52	1.380	13.32
-0.4	-3.4	564.22	1.380	13.38
-0.6	-3.4	564.61	1.378	13.21
-0.8	-3.4	564.27	1.380	12.92
-1	-3.4	563.00	1.381	13.65
